Year,SourcePDF,Team,Player,Pos,G,AB,R,H,2B,3B,HR,SB,SH,RBI,PO,A,E,Pct
1940,1940_Top_10_OCR.pdf,Houston,Schuble,ss,1,3,0,1,,,,,,,,,,0.333
1940,1940_Top_10_OCR.pdf,Houston,Didriksen,lf,7,28,8,9,,,,,,,,,,0.321
1940,1940_Top_10_OCR.pdf,Houston,Lewis,c,2,7,2,2,,,,,,,,,,0.286
1940,1940_Top_10_OCR.pdf,Houston,Alsabrook,rf,7,26,3,7,,,,,,,,,,0.269
1940,1940_Top_10_OCR.pdf,Houston,Cunningham,3b,7,19,5,5,,,,,,,,,,0.263
1940,1940_Top_10_OCR.pdf,Houston,Nolen,cf,5,16,4,4,,,,,,,,,,0.25
1940,1940_Top_10_OCR.pdf,Houston,Stone,ss,6,23,2,5,,,,,,,,,,0.217
1940,1940_Top_10_OCR.pdf,Houston,Williford,2b,7,30,6,3,,,,,,,,,,0.1
,,,,,,,,,,,,,,,,,,
1940,1940_Top_10_OCR.pdf,Mt. Pleasant,Stevenson,rf,3,4,1,2,,,,,,,,,,0.5
1940,1940_Top_10_OCR.pdf,Mt. Pleasant,Mock,3b,4,5,1,2,,,,,,,,,,0.4
1940,1940_Top_10_OCR.pdf,Mt. Pleasant,Flynn,c,8,24,3,7,,,,,,,,,,0.292
1940,1940_Top_10_OCR.pdf,Mt. Pleasant,Biggers,p,6,7,1,2,,,,,,,,,,0.286
1940,1940_Top_10_OCR.pdf,Mt. Pleasant,Hoffman,rf,8,25,3,7,,,,,,,,,,0.28
1940,1940_Top_10_OCR.pdf,Mt. Pleasant,Borom,2b,8,29,6,8,,,,,,,,,,0.276
1940,1940_Top_10_OCR.pdf,Mt. Pleasant,Simmons,3b,8,32,3,8,,,,,,,,,,0.25
1940,1940_Top_10_OCR.pdf,Mt. Pleasant,Thesenga,p,4,4,0,1,,,,,,,,,,0.25
1940,1940_Top_10_OCR.pdf,Mt. Pleasant,Jones,lf,8,29,7,6,,,,,,,,,,0.207
1940,1940_Top_10_OCR.pdf,Mt. Pleasant,Hill,1b,8,34,5,7,,,,,,,,,,0.206
1940,1940_Top_10_OCR.pdf,Mt. Pleasant,Griffin,p,5,11,2,2,,,,,,,,,,0.182
1940,1940_Top_10_OCR.pdf,Mt. Pleasant,Hostetler,cf,8,34,4,5,,,,,,,,,,0.147
1940,1940_Top_10_OCR.pdf,Mt. Pleasant,France,u,8,34,4,5,,,,,,,,,,0.147
,,,,,,,,,,,,,,,,,,
1940,1940_Top_10_OCR.pdf,Natrona,Fullerton,lf,3,10,1,4,,,,,,,,,,0.4
1940,1940_Top_10_OCR.pdf,Natrona,Kocon,1b,5,19,5,7,,,,,,,,,,0.368
1940,1940_Top_10_OCR.pdf,Natrona,H. Malisz'ski,lf,5,15,2,5,,,,,,,,,,0.333
1940,1940_Top_10_OCR.pdf,Natrona,E. Malisz'ski,3b,5,16,1,4,,,,,,,,,,0.25
1940,1940_Top_10_OCR.pdf,Natrona,Ruthowski,c,5,16,0,3,,,,,,,,,,0.188
1940,1940_Top_10_OCR.pdf,Natrona,Dunn,2b,5,18,2,3,,,,,,,,,,0.167
1940,1940_Top_10_OCR.pdf,Natrona,Hundredmark,rf,5,19,2,3,,,,,,,,,,0.158
1940,1940_Top_10_OCR.pdf,Natrona,Rezak,ss,4,13,2,2,,,,,,,,,,0.154
1940,1940_Top_10_OCR.pdf,Natrona,Sarver,p,3,9,1,1,,,,,,,,,,0.111
,,,,,,,,,,,,,,,,,,
1940,1940_Top_10_OCR.pdf,Sanford,Hoyle,2b-lf,7,18,5,6,,,,,,,,,,0.333
1940,1940_Top_10_OCR.pdf,Sanford,Mallory,cf,7,29,7,9,,,,,,,,,,0.31
1940,1940_Top_10_OCR.pdf,Sanford,Shokes,1b,7,29,6,9,,,,,,,,,,0.31
1940,1940_Top_10_OCR.pdf,Sanford,Eason,rf,7,31,2,7,,,,,,,,,,0.226
1940,1940_Top_10_OCR.pdf,Sanford,Glosski,c,7,27,1,6,,,,,,,,,,0.222
1940,1940_Top_10_OCR.pdf,Sanford,Butcher,p-lf,6,10,0,2,,,,,,,,,,0.2
1940,1940_Top_10_OCR.pdf,Sanford,Ray,p,2,5,1,1,,,,,,,,,,0.2
1940,1940_Top_10_OCR.pdf,Sanford,Abernathy,p,2,5,0,1,,,,,,,,,,0.2
1940,1940_Top_10_OCR.pdf,Sanford,Price,3b,7,26,4,5,,,,,,,,,,0.192
1940,1940_Top_10_OCR.pdf,Sanford,Hobson,2b,7,24,5,4,,,,,,,,,,0.167
1940,1940_Top_10_OCR.pdf,Sanford,Byrd,p,4,8,2,1,,,,,,,,,,0.125
1940,1940_Top_10_OCR.pdf,Sanford,Clayton,ss,7,27,4,3,,,,,,,,,,0.111
,,,,,,,,,,,,,,,,,,
1940,1940_Top_10_OCR.pdf,Wichita,Lang,p,1,3,2,2,,,,,,,,,,0.6
1940,1940_Top_10_OCR.pdf,Wichita,Korach,cf,2,3,1,2,,,,,,,,,,0.6
1940,1940_Top_10_OCR.pdf,Wichita,Corbitt,ss,5,17,5,7,,,,,,,,,,0.412
1940,1940_Top_10_OCR.pdf,Wichita,Olson,lf,5,19,0,7,,,,,,,,,,0.368
1940,1940_Top_10_OCR.pdf,Wichita,Parker,1b,5,17,1,6,,,,,,,,,,0.353
